Nome: JOAO PINHEIRO
Codigo Estacao: 83481
Latitude: -17.74027777
Longitude: -46.17694443
Altitude: 759.62
Situacao: Desativada
Data Inicial: 2009-01-01
Data Final: 2018-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2013-10-05;6;null;0;28.4;23.7;20.3;68.3;55;2.6;
2013-10-06;8.9;null;0;32.6;26.2;20.5;53.3;40;1.2;
2013-10-07;10.6;null;0;30.8;23.3;20.1;74;54;2.2;
2013-10-08;5.9;null;18.1;23.6;19.2;17.1;87.3;75;2.1;
2013-10-09;2.6;null;15.2;23.4;19.6;16.1;78.8;69;1.7;
2013-10-10;5.2;null;.3;28.8;21.7;15.1;60.5;39;1.2;
2013-10-11;10;null;0;29.6;22.5;16.3;50.3;36;1.7;
2013-10-12;12.9;null;0;29.6;22.5;16.1;51;36;1.3;
2013-10-13;12.6;null;0;31;23.7;17.3;49.8;37;1.4;
2013-10-14;13.3;null;0;32.8;25.6;19.1;49.3;40;1.5;
2013-10-15;14.8;null;0;34.4;27.5;21.1;50.3;35;.7;
2013-10-16;14.4;null;0;33.2;25.3;21.1;63.5;40;1.4;
2013-10-17;12.1;null;.4;28.6;23.5;20.9;76;60;1.5;
2013-10-18;5.7;null;1;25.8;21.9;19.1;84;68;.7;
2013-10-19;3.3;null;7.6;31.8;24.3;19.1;70.3;47;1.4;
2013-10-20;7.5;0;0;31.6;26;21.5;67;57;1.4;
2013-10-21;7.8;null;0;34;26.9;20.5;58.8;53;.7;
2013-10-22;11.3;null;0;34.4;27.8;22.9;54;43;1.7;
2013-10-23;13.4;null;0;33.6;26.3;21.7;53.8;36;1.5;
2013-10-24;15.3;null;0;33.8;27.5;21.5;44.5;36;1.7;
2013-10-25;15.5;null;0;34.2;26.3;22.5;52.3;36;.7;
2013-10-26;18.5;null;0;34;27.5;22.5;44.3;36;.8;
2013-10-27;17.1;null;0;35.6;28.7;21.3;41;32;1.7;
2013-10-28;18.5;null;0;36.8;26.9;22.3;62.5;31;.9;
2013-10-29;12.3;null;10.4;29.8;24.5;21.5;72;65;1.7;
2013-10-30;7;null;.2;31.4;24.5;20.1;67;53;1.9;
2013-10-31;7.8;null;0;31.4;27.2;20.5;51.5;49;.8;
2013-11-01;8.3;null;0;32.4;26.1;21.1;62.8;43;2.1;
2013-11-02;9.7;null;0;31.6;25.4;19.1;55.5;48;.8;
2013-11-03;11.5;null;0;33.4;25.9;19.7;48;40;2.3;
2013-11-04;16.1;null;0;32.8;25.6;20.1;43.5;35;1;
2013-11-05;15.1;null;0;28.8;22.5;18.9;69;48;1.9;
2013-11-06;6.1;null;3.6;23.2;20.1;18.3;87.8;80;1.3;
2013-11-07;2;null;6.9;28.4;22.6;18.5;78.8;51;1.5;
2013-11-08;4.4;null;3.6;28.6;23.3;18.7;78;59;1.5;
2013-11-09;4.4;null;.2;33.6;27.4;21.1;57.8;39;.9;
2013-11-10;2.6;null;0;35;29;23.9;49.8;41;.5;
2013-11-11;14.9;null;0;35.4;28.7;24.1;60.8;37;1.2;
2013-11-12;13.4;null;4.2;34.4;28.1;22.5;60.8;41;1.2;
2013-11-13;11.7;null;0;34.8;24.6;19.7;74.5;52;2.7;
2013-11-14;6.8;null;24.6;28;23.6;17.6;69.3;59;2.2;
2013-11-15;9.8;null;0;30.4;24.7;19.5;65.5;66;1.3;
2013-11-16;11.5;null;0;32;25.4;19.7;49;32;1;
2013-11-17;13.8;null;0;32.8;25.2;20.9;56.3;39;2.6;
2013-11-18;10.3;null;6.3;27.8;22.7;18.5;74.8;63;1.4;
2013-11-19;7;null;.1;33.2;26.1;19.5;57;40;.7;
2013-11-20;11.8;null;0;34;26.6;20.7;54.5;36;1.5;
2013-11-21;11.3;null;0;34;27.1;21.5;54.3;35;.8;
2013-11-22;12.4;null;0;34.2;26.9;21.7;44;30;.7;
2013-11-23;11.5;null;0;33;26.8;21.5;57.8;44;.5;
2013-11-24;11;null;10;28.4;22.5;19.9;90;54;1.9;
2013-11-25;3.8;null;12.4;28;22.9;19.5;81.5;60;1.5;
2013-11-26;2.5;null;47.6;24.6;21.7;19.5;90;81;1.3;
2013-11-27;3.4;null;1.3;29;23.8;20.3;72.8;65;1.6;
2013-11-28;6;null;0;30;24.6;19.9;71.5;58;1.7;
2013-11-29;6;null;2.4;25.2;22.1;null;87.8;81;2.2;
2013-11-30;2.8;null;1.3;25;21.8;19.3;93.5;88;1.4;
2013-12-01;1.3;null;24;29.8;24.8;19.7;83.8;79;.7;
2013-12-02;6.8;null;0;32.2;25.7;21.7;63.3;42;2.4;
2013-12-03;6.4;null;.3;31.6;26.3;21.1;67.8;54;1;
2013-12-04;7.4;null;0;35;28.1;22.7;56;40;.7;
2013-12-05;10;null;0;34.2;27.2;21.7;54.5;35;1.4;
2013-12-06;7.5;null;60.8;null;23.7;19.3;79;60;.5;
2013-12-07;3.8;null;1.6;26.8;22.5;21.1;90.3;76;.8;
2013-12-08;2;null;7.2;30.2;23.8;19.7;80.8;61;.5;
2013-12-09;4.7;null;0;29;23.6;20.5;83;69;1.2;
2013-12-10;3.6;null;4.8;27.2;23.2;19.7;86;69;1.7;
2013-12-11;2.2;null;27.3;27.8;22.9;19.5;88.3;80;.3;
2013-12-12;2.7;null;28.6;27;23.2;20.3;87;74;1.7;
2013-12-13;4.7;null;2;28.2;24;20.3;82.3;66;.7;
2013-12-14;1.3;null;0;29;24.5;21.1;78;52;.7;
2013-12-15;4.1;null;.4;26.8;23.7;21.7;88;84;.7;
2013-12-16;1.5;null;28;28.4;23.3;20.1;86.8;73;1.7;
2013-12-17;3;null;.9;29.8;23.9;20.7;79.3;56;2.2;
2013-12-18;5.6;null;1;31.4;25.2;20.7;68.5;49;1.5;
2013-12-19;6.4;null;2.9;31.4;25.3;20.7;68.8;51;1.2;
2013-12-20;.8;null;0;31.2;23.2;19.5;78.5;54;1.7;
2013-12-21;5.9;null;24.3;29;22.9;19.3;83.8;62;1.5;
2013-12-22;3.2;null;7.9;28.8;22.7;20.5;86.5;63;1.5;
2013-12-23;2.1;null;10.5;27.4;22.2;20.1;90;77;1.3;
2013-12-24;3.1;null;26.4;27.2;23.4;20.3;84.5;77;1.5;
2013-12-25;5.6;null;3.3;31.2;25.6;21.5;68.5;55;1.7;
2013-12-26;8;null;0;33;27.3;21.5;72.5;52;.8;
2013-12-27;6.5;null;16.1;28.2;23.1;20.1;82;65;2.2;
2013-12-28;4.6;null;0;29.2;23.8;19.9;74.3;56;2.6;
2013-12-29;6.2;null;0;30.2;24.1;20.7;77;55;1.5;
2013-12-30;5.8;null;1.7;30.8;24.5;21.1;77.8;56;1.3;
2013-12-31;5.9;null;0;30.8;25.5;21.5;72.3;61;1.9;
2014-01-01;5.6;null;.1;30.4;26.1;21.5;73.8;67;1.2;
2014-01-02;6.8;null;15.4;33.8;27.2;21.7;68;51;.5;
2014-01-03;9.2;null;1.6;33.4;27.3;22.5;53.8;41;.8;
2014-01-04;null;null;0;34.4;27.3;22.3;47.8;26;1;
2014-01-05;13;null;0;32.6;26.9;22.5;49.8;40;1.7;
2014-01-06;11.7;null;0;32.4;26.7;21.3;53.5;44;2.2;
2014-01-07;12;null;.3;30.2;24.9;20.5;58.8;54;2.3;
2014-01-08;10.5;null;0;31.4;25.3;19.5;60.5;45;1.7;
2014-01-09;10.6;null;0;30.8;25.1;20.5;69.3;62;1.9;
2014-01-10;7.9;null;4.4;31.4;25.1;19.9;64.8;51;2.1;
2014-01-11;7.6;null;0;31.6;25.6;20.5;64.5;51;1.5;
2014-01-12;10.2;null;.3;32.6;26.5;21.1;58.8;48;.9;
2014-01-13;2.5;null;0;32.2;26.9;21.5;57;47;.7;
2014-01-14;12;null;0;32.8;26.7;21.5;56;44;1.2;
2014-01-15;12.1;null;0;33.6;27.2;21.5;58.5;46;.8;
2014-01-16;13;null;0;31.8;26.4;21.7;61;50;.7;
2014-01-17;10.3;null;15.6;26.2;22.7;20.1;91.5;63;1.2;
2014-01-18;2.1;null;5.6;25.4;22.5;20.3;86.8;79;.5;
2014-01-19;2.5;null;3.4;30;23.9;19.3;73.3;57;2.1;
2014-01-20;4.9;null;1;28.8;22.4;19.1;86.5;70;1.5;
2014-01-21;3;null;50.4;28.2;21.9;19.1;85.3;68;1.5;
2014-01-22;3.4;null;2.6;30.6;25.3;19.3;72.8;59;1.2;
2014-01-23;7.3;null;1.7;31.2;25.2;19.1;72;59;.7;
2014-01-24;7.3;null;11.1;32.6;24.7;20.9;70.5;51;1.3;
2014-01-25;6.7;null;.6;29.6;24.6;18.9;67.3;55;1.4;
2014-01-26;8.2;null;0;31.6;25.4;20.5;60.8;52;1.2;
2014-01-27;9.6;null;0;28.8;23.3;20.1;82;63;1.6;
2014-01-28;4.9;null;17.5;30.2;24.3;19.5;59.5;43;1.4;
2014-01-29;11.2;null;0;31.8;24.8;19.1;66.5;51;1;
2014-01-30;10.2;null;0;31.6;24.9;21.3;62;47;1.5;
2014-01-31;10.2;null;0;30.4;24.7;20.3;54.8;39;2.2;
2014-02-01;10.7;null;0;30.4;24.6;20.3;56;45;1.2;
2014-02-02;12.5;null;0;31.2;25.5;20.3;54.8;44;1.7;
2014-02-03;11.8;null;0;32.4;25.7;null;56.8;43;1.6;
2014-02-04;13.5;null;0;32.6;26.8;21.5;52.8;39;1.4;
2014-02-05;9;null;0;32.8;26.7;22.7;56.8;50;1.6;
2014-02-06;11.8;null;0;31.6;25.5;19.9;53.5;45;2.1;
2014-02-07;12.7;null;0;31.8;25.7;20.5;56.8;46;1.2;
2014-02-08;12.2;null;0;32.8;26.3;21.1;54.5;42;1.9;
2014-02-09;12.8;null;0;33;26.3;21.3;53.3;41;1;
2014-02-10;12.1;null;0;30.2;25.4;20.9;60.5;51;1.7;
2014-02-11;10.4;null;0;31.6;25.9;21.7;62;45;1.4;
2014-02-12;10.9;null;0;31;25.7;21.1;60.5;49;1.2;
2014-02-13;9;null;0;33;26;21.5;63.8;44;1.2;
2014-02-14;8.7;null;22.5;29.2;24.4;19.7;75;60;1;
2014-02-15;5.2;null;.2;32.8;25.1;20.9;70.8;54;1.4;
2014-02-16;6.2;null;8.8;30.6;24.2;19.9;77;59;.7;
2014-02-17;5.6;null;.2;31.6;24.5;20.9;76.5;57;1.2;
2014-02-18;6.3;null;1.3;30;23.3;20.9;86;78;1.4;
2014-02-19;4.2;null;6;28.8;23.6;19.5;78.8;62;1.5;
2014-02-20;4;null;4;29;25.1;null;75.8;60;1.5;
2014-02-21;7.2;null;0;31;25.5;21.3;64.3;47;1.5;
2014-02-22;8.7;null;0;30.8;25.1;20.5;68;54;1;
2014-02-23;8;null;0;31.6;25.5;21.1;63.5;52;1.4;
2014-02-24;10;null;0;32.2;25.8;21.5;72.5;53;1;
2014-02-25;8.1;null;0;33;26.5;21.1;66.3;49;.8;
2014-02-26;8.4;null;.6;31.4;25.5;20.7;62.8;47;.9;
2014-02-27;11;null;0;32.4;26.5;21.1;61.8;47;.8;
2014-02-28;10.3;null;0;32.6;25.6;21.7;65.3;46;1.7;
2014-03-01;8.2;null;0;27.2;23.5;20.5;78.3;70;.7;
2014-03-02;4;null;1.4;30.4;25;22.9;72.8;56;1.5;
2014-03-03;5.9;null;7.7;30.4;24.7;21.5;71;55;.7;
2014-03-04;7.2;null;2.8;31.8;25.8;20.3;60.8;49;.7;
2014-03-05;10;null;0;31.4;25.4;20.7;69.3;54;.3;
2014-03-06;7.3;null;.1;30.4;25.8;21.5;69;56;.3;
2014-03-07;7.6;null;.7;26.2;21.7;19.7;91.3;74;2.1;
2014-03-08;1.4;null;19.8;27.2;22.9;19.5;83;71;1.2;
2014-03-09;3.4;null;0;29.6;22.5;19.3;82.8;64;1.2;
2014-03-10;4.3;null;20.8;30;24;19.3;75.8;57;.8;
2014-03-11;6.5;null;0;30.8;25;20.5;69.8;54;.5;
2014-03-12;8;null;0;31.6;25.7;21.1;55.5;42;.9;
2014-03-13;9.5;null;0;31.8;26.1;21.1;61;52;1.5;
2014-03-14;8.5;null;0;31.8;25.4;20.1;63.8;49;1.9;
2014-03-15;9.8;null;0;32;25.7;20.7;62.5;47;2.1;
2014-03-16;10.2;null;0;31.4;25.6;20.1;56.3;44;2.1;
2014-03-17;11.3;null;0;31;24.4;21.3;68;52;1.9;
2014-03-18;7;null;7.8;30.4;25.3;21.3;69;54;.8;
2014-03-19;7.8;null;0;32.2;26.1;20.5;60.3;42;1;
2014-03-20;8.9;null;0;33.2;26.9;21.5;60.8;39;.7;
2014-03-21;8.6;null;0;31.2;25.9;21.7;71.3;57;.7;
2014-03-22;7.8;null;0;34.4;26.8;21.7;64.8;42;2.2;
2014-03-23;9.3;null;0;32.8;25.9;19.9;69.8;49;1.7;
2014-03-24;5.1;null;20.2;26.4;22.2;20.5;91.5;80;1.9;
2014-03-25;4.7;null;2.1;29.6;23.9;19.7;78.5;69;1.4;
2014-03-26;4.4;null;0;28.4;23.9;19.7;81.8;77;1.4;
2014-03-27;4.3;null;16.4;27.4;23.4;19.7;82.8;69;.8;
2014-03-28;3;null;13.9;26.8;22.7;19.7;82.5;70;1;
2014-03-29;2.7;null;0;30.4;25;20.7;71.8;62;1.4;
2014-03-30;7.5;null;2.9;25;22.5;19.3;87.5;77;.9;
2014-03-31;2.5;null;2.6;30.4;24.4;20.7;78;61;.8;
2014-04-01;4.1;null;3.8;31.2;24.5;20.5;79;58;.5;
2014-04-02;4.4;null;.8;31;25.4;20.7;71;49;1;
2014-04-03;6;null;30.4;27.2;22.8;19.7;87.5;73;.5;
2014-04-04;2.6;null;.4;30.4;24.9;20.3;82;81;1.8;
2014-04-05;5.2;null;10.1;30.4;24.7;19.7;69.8;57;2.2;
2014-04-06;6.5;null;0;30.2;25.1;20.5;71.8;57;1.7;
2014-04-07;7.8;null;0;31.6;25;20.5;66.3;49;1;
2014-04-08;8.2;null;0;32.4;26.1;21.1;66.3;47;.3;
2014-04-09;8.3;null;0;32.8;27;21.5;64.5;49;.3;
2014-04-10;8.4;null;0;33;23.9;19.7;78.8;55;1;
2014-04-11;6.7;null;23.4;31;24;19.7;89.3;77;1.4;
2014-04-12;3.5;null;33.9;28.6;23.7;20.3;85.5;87;.3;
2014-04-13;6.4;null;0;31;25.8;21.1;71.8;58;.7;
2014-04-14;8;null;0;31.6;26;22.9;69.8;58;1.4;
2014-04-15;8.5;null;0;32;26;20.5;67.8;50;1.6;
2014-04-16;8.9;null;0;29.2;25.2;21.5;73.3;64;1;
2014-04-17;7;null;.5;31.8;25;21.3;71.8;48;1.4;
2014-04-18;8.2;null;9.4;31.2;25.2;20.7;69.3;52;.7;
2014-04-19;8.7;null;0;32.6;27.1;22.5;60.5;47;1.5;
2014-04-20;11.2;null;0;33.2;27.4;22.7;61.5;48;.7;
2014-04-21;11.4;null;0;31.6;24.8;22.3;73.8;64;2.2;
2014-04-22;8.5;null;.8;30.8;24.9;20.1;69.5;52;1.7;
2014-04-23;8.3;null;0;28.6;23.8;19.9;76.8;64;1.7;
2014-04-24;6.8;null;0;29.8;23.7;21.3;79.3;63;1.9;
2014-04-25;5;null;6.2;25.8;21.9;18.3;75.3;69;1.4;
2014-04-26;6.8;null;0;29;23.7;19.3;64.8;55;1.6;
2014-04-27;8.7;null;0;28.8;23;17.9;65.3;54;1.2;
2014-04-28;8.8;null;0;27.4;22;17.6;55.3;47;1.5;
2014-04-29;11;null;0;26.6;20.3;15.3;57.8;41;2.2;
2014-04-30;9.5;null;0;27;20.2;14.7;54;41;1.9;
2014-05-01;10;null;0;27.8;21.3;16;63.5;44;1.2;
2014-05-02;7.5;null;0;29.4;22.6;16.3;49.3;36;1.7;
2014-05-03;12;null;0;29.6;22.5;18.1;50;36;2.1;
2014-05-04;11.9;null;0;28.8;22.1;17.7;58.8;39;.7;
2014-05-05;9.8;null;0;29.6;23.6;19.5;56;42;1;
2014-05-06;10.1;null;0;29.8;24.1;20.1;55.8;43;1.2;
2014-05-07;10.8;null;0;28.8;23.5;19.7;65.8;51;2.4;
2014-05-08;7.9;null;0;29.6;23.7;20.1;69.8;49;.7;
2014-05-09;5;null;0;30.8;24.7;19.1;57.5;46;.3;
2014-05-10;9.8;null;0;null;25.1;19.7;48.5;35;1.5;
2014-05-11;11.4;null;0;28.2;22.1;17.7;64.8;52;3.1;
2014-05-12;7.7;null;0;27.2;20.8;15.3;58;45;2.2;
2014-05-13;9.3;null;0;27.2;20.8;16.1;57.5;40;1.2;
2014-05-14;10.6;null;0;28.8;22.3;16.9;46.3;33;.7;
2014-05-15;11.9;null;0;30.2;23.3;19.1;56;37;.8;
2014-05-16;9.6;null;0;30.8;23.7;19.1;56.5;34;.3;
2014-05-17;11.1;null;0;30.8;24.5;20.5;49.8;39;2.4;
2014-05-18;10.8;null;0;28;23.3;19.5;62.8;54;2.8;
2014-05-19;7.7;null;0;30.8;24.1;20.1;58.3;41;2.6;
2014-05-20;9.2;null;0;30.6;23.8;19.7;53;43;1.9;
2014-05-21;11.2;null;0;29.2;22.7;18.7;59;43;1.2;
2014-05-22;11.3;null;0;30.8;23.6;18.7;61;41;1;
2014-05-23;8;null;0;32.6;25.1;18.5;63.8;42;.2;
2014-05-24;10.6;null;0;32.4;26.4;22.3;63.5;46;1.2;
2014-05-25;10.5;null;0;31.8;26;22.7;62;47;2.2;
2014-05-26;9;null;0;31.2;25.2;20.7;65.3;47;1.2;
2014-05-27;8.2;null;0;30.8;23.9;19.7;62;50;.7;
2014-05-28;9.1;null;0;29.6;21.3;16.7;58.5;31;.9;
2014-05-29;10.4;null;0;28.8;21.7;16.9;57.5;41;.8;
2014-05-30;8.7;null;0;27.6;22.2;16.7;61.8;46;1.4;
2014-05-31;6.4;null;0;27.6;21.4;16.5;67;52;1.6;
2014-06-01;6.8;null;0;28.6;22.3;16.7;65.8;54;.7;
2014-06-02;7.1;null;1.9;29.2;21.7;16.7;72;58;.9;
2014-06-03;5.6;null;0;28.8;21.7;17.7;65;39;1;
2014-06-04;8.4;null;0;29.8;23.2;17.5;57;46;1.2;
2014-06-05;8.3;null;0;30.8;23.7;18.7;56.5;39;.9;
2014-06-06;8.2;null;0;30.8;23.9;19.3;59.8;41;.8;
2014-06-07;9.8;null;0;30.8;23.2;19.1;53.5;41;.3;
2014-06-08;10.7;null;0;29.4;23.2;17.7;56;38;1.6;
2014-06-09;11.6;null;0;30.8;24.7;19.5;47;40;2.4;
2014-06-10;11.5;null;0;28.8;22.3;17.1;58.5;39;.8;
2014-06-11;9.8;null;0;null;21.2;16.9;63.8;46;1.8;
2014-06-12;8.7;null;0;26.2;21;16.9;64;53;2.4;
2014-06-13;8.8;null;0;27.4;21.1;16.7;65.5;47;2.2;
2014-06-14;9;null;0;27;21.3;17.3;66.3;53;3.1;
2014-06-15;7.5;null;0;28.8;22.6;16.7;61.3;48;2.4;
2014-06-16;9;null;0;28.2;22.7;17.1;55.3;43;1.2;
2014-06-17;8.4;null;0;null;null;18.7;55.5;42;.7;
2014-06-18;8.5;null;0;null;null;18.7;65;47;.5;
2014-06-19;8.6;null;0;null;null;18.9;62.3;50;.7;
2014-06-20;8.4;null;0;null;null;17.1;59.8;44;1.9;
2014-06-21;8.1;null;0;null;null;16.5;53.5;39;1;
2014-06-22;9.2;null;0;null;null;14.7;55;40;1.9;
2014-06-23;9;null;0;null;null;14.5;70.8;50;1.7;
2014-06-24;6.3;null;0;null;null;15.7;60.3;46;1;
2014-06-25;8.6;null;0;null;null;16.3;50.8;38;2.2;
2014-06-26;9.2;null;0;null;null;15.9;58;41;1.2;
2014-06-27;9.9;null;0;null;null;17.5;59.3;39;1.2;
2014-06-28;10.2;null;0;null;null;19.5;60.8;44;1.2;
2014-06-29;9;null;0;null;null;16.5;56.5;36;.7;
2014-06-30;9.5;null;0;null;null;17.7;58;37;.3;
2014-07-01;10.2;null;0;null;null;18.1;54.5;32;0;
2014-07-02;10.3;null;0;null;null;18.9;44.5;37;1.5;
2014-07-03;12.4;null;0;null;null;18.1;46;36;1.7;
2014-07-04;12.5;null;0;null;null;18.7;50;31;2.2;
2014-07-05;12.4;null;0;null;null;16.1;52.3;36;1.9;
2014-07-06;12.1;null;0;null;null;16.3;58.5;40;2.2;
2014-07-07;9.4;null;0;null;null;16.5;53.3;46;.8;
2014-07-08;11.3;null;0;null;null;15.7;50.8;39;1.2;
2014-07-09;10.6;null;0;null;null;16.7;55.8;43;1.2;
2014-07-10;11.1;null;0;null;null;17.3;53.5;38;1.4;
2014-07-11;11.6;null;0;null;null;18.3;56.8;44;1.7;
2014-07-12;9.3;null;0;null;null;16.7;57;51;2.7;
2014-07-13;8.8;null;0;null;null;15.7;51.8;38;1.5;
2014-07-14;11;null;0;null;null;14.9;53.8;39;1.5;
2014-07-15;11.1;null;0;null;null;14.5;56;43;1.2;
2014-07-16;7.2;null;0;null;null;14.7;55.3;41;2.1;
2014-07-17;9;null;0;null;null;16.5;57.3;39;1;
2014-07-18;9.3;null;0;null;null;16.1;50.5;32;1.2;
2014-07-19;11.8;null;0;null;null;18.7;50.3;35;1.5;
2014-07-20;11.9;null;0;null;null;19.5;52.5;35;1;
2014-07-21;10.2;null;0;null;null;17.1;54;38;1.9;
2014-07-22;9.1;null;0;null;null;15.3;52.3;36;1.8;
2014-07-23;9.4;null;0;null;null;15.1;54.5;38;2;
2014-07-24;10;null;0;null;null;16.5;59;47;2.4;
2014-07-25;9.5;null;2;null;null;17.7;78;63;2.4;
2014-07-26;4.8;null;2.8;null;null;15.7;85.5;75;3.4;
2014-07-27;2.2;null;6.7;null;null;14.7;89.3;84;1.9;
2014-07-28;2;null;.6;null;null;14.7;79;63;1.7;
2014-07-29;5.8;null;0;null;null;16.3;70.5;60;1.9;
2014-07-30;6.1;null;0;null;null;14.9;64.8;54;1.2;
2014-07-31;7.8;null;0;null;null;13.7;58;49;1.2;
2014-08-01;9.2;null;0;null;null;16.5;55.8;44;.7;
2014-08-02;9.5;null;0;null;null;17.7;61.8;38;.7;
2014-08-03;12;null;0;null;null;19.7;53.3;34;.9;
2014-08-04;9;null;0;null;null;20.5;52.5;35;.8;
2014-08-05;14;null;0;null;null;20.1;37.5;31;1.4;
2014-08-06;15.5;null;0;null;null;17.1;58.8;40;2.9;
2014-08-07;10.1;null;0;null;null;13.3;45.3;37;2.1;
2014-08-08;13.9;null;0;null;null;17.3;39.3;28;1.7;
2014-08-09;13.8;null;0;null;null;16.5;41.3;32;1.9;
2014-08-10;15.7;null;0;null;null;14.5;42.5;28;1.5;
2014-08-11;13.9;null;0;null;null;16.5;44.8;32;.7;
2014-08-12;13.4;null;0;null;null;16.4;43.8;34;0;
2014-08-13;13.3;null;0;null;null;18.7;43.5;35;1;
2014-08-14;13.8;null;0;null;null;18.6;47.8;34;2.2;
2014-08-15;13.2;null;0;null;null;15.3;62.5;49;2.4;
2014-08-16;10.2;null;0;null;null;16.7;63;52;1.9;
2014-08-17;8.4;null;0;null;null;16.3;61;48;3.3;
2014-08-18;8.7;null;0;null;null;18.3;64;50;.3;
2014-08-19;8.4;null;0;null;null;19.1;46.5;37;1.3;
2014-08-20;10.7;null;0;null;null;17.1;50.5;37;1.2;
2014-08-21;13;null;0;null;null;17.3;49.8;38;.8;
2014-08-22;13.1;null;0;null;null;18.7;42;32;.8;
2014-08-23;15.8;null;0;null;null;18.3;36.8;30;2.2;
2014-08-24;17;null;0;null;null;16.7;46.3;30;1.6;
2014-08-25;12.3;null;0;null;null;16.7;44.5;31;1.4;
2014-08-26;15.5;null;0;null;null;20.1;46.8;31;.7;
2014-08-27;18.3;null;0;null;null;20.1;52.8;28;.2;
2014-08-28;14.3;null;0;null;null;21.1;50.3;27;.3;
2014-08-29;16.5;null;0;null;null;21.3;46;39;.7;
2014-08-30;15.1;null;0;null;null;21.5;48.3;37;0;
2014-08-31;14.1;null;0;null;null;20.7;47;42;1;
2014-09-01;15.3;null;0;null;null;21.7;55.5;40;.5;
2014-09-02;14.3;null;0;null;null;21.7;51.8;37;.5;
2014-09-03;14.3;null;0;null;null;20.1;74.5;61;2.2;
2014-09-04;4.5;null;1.4;null;null;17.9;47;42;2.6;
2014-09-05;16;null;0;null;null;16.7;54.5;42;1.7;
2014-09-06;13.3;null;0;null;null;14.5;52.3;36;1.9;
2014-09-07;14.5;null;0;null;null;16.3;49.3;38;1.2;
2014-09-08;9.9;null;0;null;null;14.7;48.3;37;1.7;
2014-09-09;13.6;null;0;null;null;16.7;47;37;1.9;
2014-09-10;14.9;null;0;null;null;17.1;50.8;40;1.2;
2014-09-11;14.5;null;0;null;null;17.7;42.8;35;1.5;
2014-09-12;16.3;null;0;null;null;18.7;38.5;25;1.5;
2014-09-13;18;null;0;null;null;18.9;45.5;35;1.7;
2014-09-14;11.5;null;0;null;null;18.3;42.8;35;1.4;
2014-09-15;6.7;null;0;null;null;18.3;46;33;.8;
2014-09-16;17.3;null;0;null;null;20.7;46.3;30;1;
2014-09-17;17.5;null;0;null;null;23.9;39.5;32;.8;
2014-09-18;17.5;null;0;null;null;22.5;45.5;36;1;
2014-09-19;17.7;null;0;null;null;19.7;40.8;30;.7;
2014-09-20;18.7;null;0;null;null;20.5;39;28;1;
2014-09-21;14.7;null;0;null;null;20.3;52.8;35;1.7;
2014-09-22;14.6;null;0;null;null;22.5;38;41;1.9;
2014-09-23;15.3;null;0;null;null;19.1;56;26;.8;
2014-09-24;14.3;null;0;null;null;18.7;51;42;1.2;
2014-09-25;14.5;null;0;null;null;21.3;44.3;36;1;
2014-09-26;17.2;null;0;null;null;20.3;43.3;31;1.4;
2014-09-27;17.2;null;0;null;null;23.7;38.8;32;1.3;
2014-09-28;19.1;null;0;null;null;23.7;41;34;2.2;
2014-09-29;18.2;null;0;null;null;23.5;47;36;1.4;
2014-09-30;17.5;null;0;null;null;24.3;47.5;29;0;
2014-10-01;16.7;null;0;null;null;24.3;54.3;30;1.6;
2014-10-02;15.7;null;.2;null;null;23.5;50.8;37;1.8;
2014-10-03;16.3;null;0;null;null;19.7;42;33;2.8;
2014-10-04;15.1;null;0;null;null;16.7;46;35;2.2;
2014-10-05;13.5;null;0;null;null;16.1;47.8;36;1.5;
2014-10-06;15.2;null;0;null;null;15.7;43.5;36;1.9;
2014-10-07;14.9;null;0;null;null;15.7;44;29;1.3;
2014-10-08;17.5;null;0;null;null;18.1;39.3;34;1.3;
2014-10-09;16.3;null;0;null;null;18.7;42;33;1.2;
2014-10-10;17.4;null;0;null;null;19.5;34.8;27;1.4;
2014-10-11;18.3;null;0;null;null;20.5;38;25;1;
2014-10-12;18.5;null;0;null;null;23.1;34.5;27;.7;
2014-10-13;19.3;null;0;null;null;23.1;37.8;28;1;
2014-10-14;19.5;null;0;null;null;23.1;34;26;1.2;
2014-10-15;20.1;null;0;null;null;24.7;33;25;1.4;
2014-10-16;20.3;null;0;null;null;24.9;39;30;.9;
2014-10-17;19.5;null;0;null;null;23.9;43.5;34;1.2;
2014-10-18;19.1;null;0;null;null;24.5;39.5;30;1;
2014-10-19;19.7;null;0;null;null;25.1;43.5;27;.7;
2014-10-20;20.5;null;0;null;null;21.7;52.8;29;1.7;
2014-10-21;19.3;null;11.4;null;null;20.7;65.3;45;1.4;
2014-10-22;8.3;null;.3;null;null;22.9;66;51;1.4;
2014-10-23;8;null;14.4;null;null;19.1;72;52;.3;
